form,pos,translation
amaq,noun,person
delun,noun,river
fajom,noun,tree
guris,noun,stone
huneb,noun,sky
jomai,noun,house
kalur,noun,path
lemot,noun,fire
misan,noun,wind
nomug,noun,mountain
qarid,noun,tool
suleq,noun,animal
tawen,noun,village
wajin,noun,body
yomez,noun,thought
bafuq,verb,run
dalen,verb,see
fomir,verb,eat
garun,verb,make
habis,verb,sleep
jurek,verb,carry
kasin,verb,speak
lamid,verb,search
muref,verb,cut
nasib,verb,stand
qeruf,verb,give
ronak,verb,fall
sugem,verb,flow
tarek,verb,wait
wosef,verb,hear
belug,adj,large
donis,adj,small
faraq,adj,bright
gumin,adj,cold
haseq,adj,hot
jalet,adj,new
komir,adj,old
lusan,adj,heavy
meriq,adj,light
nasul,adj,fresh
qa,pronoun,I
e,pronoun,you
ir,pronoun,he_she_it
qo,pronoun,we
ru,pronoun,you_pl
ya,pronoun,they
ba,adposition,at
deg,adposition,with
fi,adposition,to
gu,adposition,from
sa,adposition,for
wu,particle,question
zi,particle,relative
tor,particle,negation
nes,demonstrative,this
mo,demonstrative,that
dazun,noun,hunter
gular,noun,running_action
qamir,noun,crafted_product
wotem,noun,sleeping_place
yomzim,adj,mental
