form,pos,translation
ti,pronoun,i
ho,pronoun,you
wen,pronoun,they
la,adposition,in
fe,adposition,with
ro,adposition,to
yeg,adposition,after
dok,determiner,this
fem,determiner,that
ji,pronoun,who
qaw,pronoun,what
miq,particle,topic
jeq,particle,question
balo,noun,person
zamut,noun,animal
fagek,noun,tree
donuk,noun,water
huras,noun,fire
meluq,noun,mountain
jirow,noun,village
kadas,noun,sky
boran,noun,stone
suwet,noun,path
yawiq,noun,speech
mulez,noun,thought
jokhuri,noun,courage
razin,adj,stone-like
dulafi,adj,bright
senoqi,adj,small
taweli,adj,hot
fuyemi,adj,still
liradu,adj,open
gawite,verb,see
boseni,verb,go
tiraku,verb,eat
hamedo,verb,speak
nolaji,verb,build
serako,verb,run
qidemu,verb,hear
jalotu,verb,carry
wefanu,verb,rest
hurabi,verb,cut
seramun,noun,runner
huryeq,noun,cutting-tool
