form,pos,translation
masek,noun,person
dulom,noun,mountain
serik,noun,river
bawen,noun,house
lunep,noun,tree
kayor,noun,animal
zefun,noun,spirit
harid,noun,sky
morek,noun,path
juram,noun,city
falun,noun,tool
pirez,noun,field
qamen,noun,knowledge
tusel,noun,emotion
gorim,noun,story
dasyk,noun,wind
mafok,noun,stone
runek,noun,water
belun,noun,friend
juzem,noun,work
farym,noun,worker
sosug,noun,event
balen,adj,wooden
kirep,verb,to see
nafut,verb,to go
holam,verb,to come
werid,verb,to make
gufel,verb,to speak
bazin,verb,to eat
lomur,verb,to drink
deyak,verb,to think
sorim,verb,to stand
tunek,verb,to give
yarim,verb,to hold
foset,verb,to know
jureb,verb,to feel
kemar,verb,to sleep
hadom,verb,to build
zolek,adj,large
kirun,adj,small
mejak,adj,hot
sunel,adj,cold
tiref,adj,dark
wahir,adj,bright
runel,adj,slow
bazet,adj,quick
yamor,adj,new
felan,adj,old
ti,pronoun,I
na,pronoun,you
su,pronoun,he she it
ni,pronoun,we
tu,pronoun,they
qe,adposition,at
bo,adposition,with
ri,adposition,from
ya,particle,negation
woz,pronoun,who
ze,pronoun,what
kahi,demonstrative,this
sai,demonstrative,that
